Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,name_no_num,code,row_num,definition
Nawal Grocery,-85.764732,38.157169,6918 Southside Dr,NA,Louisville,KY,40214,3722,JEFFERSON,NAWAL GROCERY,445110,1,Grocery
Alisha's Foort Mart,-85.648758,38.192978,4010 Bardstown Rd,NA,Louisville,KY,40218,2631,JEFFERSON,ALISHAS FOORT MART,445120,3,Convenience Store
Rpv Enterprises Inc.,-85.765457,38.206066,3004 S 4th St,NA,Louisville,KY,40208,1306,JEFFERSON,RPV ENTERPRISES INC,445120,3,Convenience Store
Vietnam Oriental Food Market,-85.767616,38.173634,5019 S 3rd St,NA,Louisville,KY,40214,2207,JEFFERSON,VIETNAM ORIENTAL FOOD MARKET,447110,4,Food Mart
Bombay International 1,-85.704643,38.230743,1591 Bardstown Rd,NA,Louisville,KY,40205,1150,JEFFERSON,BOMBAY INTERNATIONAL,447110,4,Food Mart
Gagel Food Market LLC,-85.782181,38.265476,2001 Bank St,NA,Louisville,KY,40203,1027,JEFFERSON,GAGEL FOOD MARKET LLC,445120,3,Convenience Store
Dollar Tree 6274,-85.782043,38.126659,161 Outer Loop,NA,Louisville,KY,40214,5598,JEFFERSON,DOLLAR TREE,445120,3,Convenience Store
Norfork Food Mart,-85.638191,38.186138,4310 Fegenbush Ln,NA,Louisville,KY,40228,1170,JEFFERSON,NORFORK FOOD MART,445120,3,Convenience Store
Fresh Thyme Farmers Market 803STM,-85.636848,38.251419,4301 Shelbyville Rd,NA,Louisville,KY,40207,3319,JEFFERSON,FRESH THYME FARMERS MARKET STM,445200,5,Specialized Lines of Food
Shively Fresh Stop Market,-85.821014,38.194782,2304 Crums Ln,NA,Louisville,KY,40216,3602,JEFFERSON,SHIVELY FRESH STOP MARKET,445110,1,Grocery
Sun Valley Fresh Stop Market,-85.883522,38.100559,6505 Bethany Ln,NA,Louisville,KY,40272,3757,JEFFERSON,SUN VALLEY FRESH STOP MARKET,445110,1,Grocery
Old Louisville Fresh Stop Market,-85.758751,38.243732,809 S 4th St,NA,Louisville,KY,40203,2115,JEFFERSON,OLD LOUISVILLE FRESH STOP MARKET,445110,1,Grocery
"Pink Box Bakery, Inc.",-85.82415,38.173569,4749 Dixie Hwy,NA,Louisville,KY,40216,2653,JEFFERSON,PINK BOX BAKERY INC,447110,4,Food Mart
Safari Food Market LLC,-85.779533,38.210602,1316 Central Ave,Frnt,Louisville,KY,40208,1160,JEFFERSON,SAFARI FOOD MARKET LLC,445120,3,Convenience Store
"Tienda Los Amigos, Llc",-85.748344,38.120979,8812 National Tpke,NA,Fairdale,KY,40118,9644,JEFFERSON,TIENDA LOS AMIGOS LLC,447110,4,Food Mart
Newburg Liquor Store,-85.664131,38.185036,5104 E Indian Trl,NA,Louisville,KY,40218,3363,JEFFERSON,NEWBURG LIQUOR STORE,445120,3,Convenience Store
Food Mart Express Llc,-85.814919,38.250156,3727 W Broadway,NA,Louisville,KY,40211,2869,JEFFERSON,FOOD MART EXPRESS LLC,445120,3,Convenience Store
La Cienfueguera Food Market,-85.842087,38.156937,1937 Lower Hunters Trce,NA,Louisville,KY,40216,1561,JEFFERSON,LA CIENFUEGUERA FOOD MARKET,447110,4,Food Mart
Almuna Halal Meat,-85.783264,38.214489,2521 7th Street Rd,NA,Louisville,KY,40208,1082,JEFFERSON,ALMUNA HALAL MEAT,447110,4,Food Mart
Family Dollar 11491,-85.813881,38.261856,3901 W Market St,NA,Louisville,KY,40212,2538,JEFFERSON,FAMILY DOLLAR,445120,3,Convenience Store
24/7 Stop & Go,-85.751518,38.214264,427 Warnock St,NA,Louisville,KY,40217,1646,JEFFERSON,STOP  GO,445120,3,Convenience Store
Tony's Convenience Mart,-85.794724,38.249443,2532 W Broadway,NA,Louisville,KY,40211,1010,JEFFERSON,TONYS CONVENIENCE MART,445120,3,Convenience Store
Costco 1238,-85.666222,38.204929,3408 Bardstown Rd,NA,Louisville,KY,40218,4608,JEFFERSON,COSTCO,452910,2,Super Center and Club Store
Cash Saver 171,-85.807991,38.225788,3044 Wilson Ave,NA,Louisville,KY,40211,1970,JEFFERSON,CASH SAVER,445110,1,Grocery
Bquick Food Mart,-85.782089,38.140224,7600 3rd Street Rd,NA,Louisville,KY,40214,5565,JEFFERSON,BQUICK FOOD MART,445120,3,Convenience Store
Gagel Pic Pac,-85.799622,38.171169,723 Gagel Ave,NA,Louisville,KY,40216,4007,JEFFERSON,GAGEL PIC PAC,445110,1,Grocery
City Market I,-85.786743,38.249165,2100 W Broadway,NA,Louisville,KY,40211,1002,JEFFERSON,CITY MARKET I,445120,3,Convenience Store
Walmart Supercenter 6931,-85.670113,38.137672,4840 Outer Loop,NA,Louisville,KY,40219,3302,JEFFERSON,WALMART SUPERCENTER,445110,1,Grocery
Asian Bazaar LLC,-85.658325,38.200108,2218 Hikes Ln,NA,Louisville,KY,40218,2204,JEFFERSON,ASIAN BAZAAR LLC,447110,4,Food Mart
Circle K 106,-85.635712,38.251274,4300 Shelbyville Rd,NA,Louisville,KY,40207,3391,JEFFERSON,CIRCLE K,445120,3,Convenience Store
Samis Llc,-85.744102,38.213753,786 Miller St,NA,Louisville,KY,40217,1924,JEFFERSON,SAMIS LLC,445120,3,Convenience Store
The Original Bardstown Road Farmers Market,-85.702667,38.229446,1722 Bardstown Rd,NA,Louisville,KY,40205,1294,JEFFERSON,THE ORIGINAL BARDSTOWN ROAD FARMERS MARKET,445200,5,Specialized Lines of Food
Oak's Food Mart LLC,-85.759117,38.234955,325 W Oak St,NA,Louisville,KY,40203,2903,JEFFERSON,OAKS FOOD MART LLC,445120,3,Convenience Store
Amina Food Market,-85.785835,38.239796,1100 Dixie Hwy,NA,Louisville,KY,40210,1225,JEFFERSON,AMINA FOOD MARKET,447110,4,Food Mart
Tikal Placita Llc 1,-85.710144,38.259579,1961 Brownsboro Rd,Ste 4,Louisville,KY,40206,2177,JEFFERSON,TIKAL PLACITA LLC,447110,4,Food Mart
Yogi Minimart Inc - Minimart,-85.62915,38.197624,6620 Six Mile Ln,NA,Louisville,KY,40218,2357,JEFFERSON,YOGI MINIMART INC  MINIMART,445120,3,Convenience Store
Millennium Llc,-85.807022,38.260967,3401 W Market St,NA,Louisville,KY,40212,2349,JEFFERSON,MILLENNIUM LLC,445120,3,Convenience Store
Fortune 500 LLC - Pic Pac,-85.689529,38.114231,9304 Blue Lick Rd,NA,Louisville,KY,40229,1054,JEFFERSON,FORTUNE  LLC  PIC PAC,447110,4,Food Mart
Fortune 500 LLC - Pic Pac,-85.689529,38.114231,9304 Blue Lick Rd,NA,Louisville,KY,40229,1054,JEFFERSON,FORTUNE  LLC  PIC PAC,445120,3,Convenience Store
Stop & Save Food Mart,-85.785919,38.211369,2752 7th Street Rd,NA,Louisville,KY,40215,2269,JEFFERSON,STOP  SAVE FOOD MART,447110,4,Food Mart
Stop & Save Food Mart,-85.785919,38.211369,2752 7th Street Rd,NA,Louisville,KY,40215,2269,JEFFERSON,STOP  SAVE FOOD MART,445120,3,Convenience Store
CVS Pharmacy 10532,-85.659348,38.198654,3700 Bardstown Rd,NA,Louisville,KY,40218,2209,JEFFERSON,CVS PHARMACY,445120,3,Convenience Store
J & M Foodmart,-85.794037,38.255177,2533 W Muhammad Ali Blvd,NA,Louisville,KY,40212,1759,JEFFERSON,J  M FOODMART,447110,4,Food Mart
Lucky Star Petro,-85.627319,38.181477,4527 Bardstown Rd,NA,Louisville,KY,40218,4001,JEFFERSON,LUCKY STAR PETRO,445120,3,Convenience Store
Ralhla Asian Market,-85.764725,38.156731,6916 Southside Dr,NA,Louisville,KY,40214,3722,JEFFERSON,RALHLA ASIAN MARKET,445200,5,Specialized Lines of Food
Rockford Plaza Liquor 1,-85.827507,38.176823,4754 Rockford Plz,NA,Louisville,KY,40216,2631,JEFFERSON,ROCKFORD PLAZA LIQUOR,447110,4,Food Mart
Ghanshayam Swarup Llc,-85.750786,38.204738999999996,2704 Crittenden Dr,NA,Louisville,KY,40209,1114,JEFFERSON,GHANSHAYAM SWARUP LLC,445200,5,Specialized Lines of Food
F And H Food Mart Llc,-85.813438,38.271427,441 N 41st St,NA,Louisville,KY,40212,2753,JEFFERSON,F AND H FOOD MART LLC,447110,4,Food Mart
